carrera,escuela,direccion,pagina_web,telefono,sitioweb
Diseño,IP DE CHILE,"Av. República 285, Santiago, Región Metropolitana, Chile",http://www.ipchile.cl/carreras/diseno,(2)27224800, Sitio
Diseño,UNIVERSIDAD ADOLFO IBAÑEZ,"Diagonal Las Torres 2640, Penalolen, Peñalolén, Región Metropolitana, Chile",http://www.uai.cl/carreras/diseno,(2) 2331 1000, Sitio
Diseño,UNIVERSIDAD CATÓLICA,"El Comendador 1916, Providencia, Región Metropolitana, Chile",http://diseno.uc.cl/,(56) 2 23545534, Sitio
Diseño,UNIVERSIDAD DE TALCA,"2 Nte. 685, Talca, VII Región, Chile",http://admision.utalca.cl/carreras/diseno.html, (56) 800 71 00 71, Sitio
Diseño,UNIVERSIDAD DEL DESARROLLO,"La Plaza Nte, Penalolen, Peñalolén, Región Metropolitana, Chile",http://diseno.udd.cl/,(56-2) 2327 9110, Sitio
Diseño,UNIVERSIDAD DEL DESARROLLO,"Ainavillo 456, Concepción, Región del Bío Bío, Chile",http://diseno.udd.cl/carrera/diseno/equipo/concepcion/,(+56-41) 226 8610, Sitio
Diseño,UNIVERSIDAD DIEGO PORTALES,"Av. República 180, Santiago, Región Metropolitana, Chile",http://diseno.udp.cl/,(+56-2) 2676 2000, Sitio
Diseño,UNIVERSIDAD FINIS TERRAE,"Av. Pedro de Valdivia 1224, Providencia, Región Metropolitana, Chile",http://fad.uft.cl/escuela-de-diseno,(2)242 07390 - (2)242 07647, Sitio
Diseño (NN),UACH,"Independencia 641, Valdivia, Región de los Ríos, Chile",https://www.uach.cl/,(+56) 63 2221500, Sitio
"Diseño Crossmedia en Gráfica, Web y Video Digital",UNIVERSIDAD GABRIELA MISTRAL,"Av. Ricardo Lyon 1177, Providencia, Región Metropolitana, Chile",http://www.ugm.cl/dcm/carrera/perfil/,(02) 24144564, Sitio
Diseño de Ambiente,IP DUOC UC,"España 8, Santiago, Región Metropolitana, Chile",http://www.duoc.cl/carrera/diseno-de-ambientes,(2)2999 3862, Sitio
Diseño de Ambiente,IP DUOC UC,"Camino El Alba 12881, Las Condes, Región Metropolitana, Chile",http://www.duoc.cl/carrera/diseno-de-ambientes,(2)2999 3862, Sitio
Diseño de Imagen Especialidad Moda,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION","Av. Salvador 1200, Providencia, Región Metropolitana, Chile",http://www.uniacc.cl/diseno-grafico-diurno/,(+56) 22 640 6151, Sitio
Diseño de Interiores,UNIVERSIDAD DEL PACIFICO,"Av. Las Condes 11121, Las Condes, Región Metropolitana, Chile",http://web.upacifico.cl/noticias/categoria/carreras/diseno-de-interiores/,(+56) 228625315, Sitio
Diseño de Juegos Digitales,UNIVERSIDAD ANDRES BELLO,"Fernández Concha 700, Las Condes, Región Metropolitana, Chile",https://campuscreativo.cl/carreras/diseno-de-juegos-digitales/,(2)2661 8681, Sitio
